Latitude,Longitude,City,Metropolitan Statistical Area,Average Daily Rate (USD),Annual Revenue LTM (USD),Airbnb Superhost,Occupancy Rate LTM,Airbnb Host ID,Property ID,Property Type
18.36089,-67.26932,Rincon,"Aguadilla-Isabela, PR Metro Area",301.22,12350,FALSE,0.336,2257303,ab-34809080,Apartment
18.35797,-67.26656,Rincon,"Aguadilla-Isabela, PR Metro Area",154.17,7400,FALSE,0.318,2257303,ab-34810257,Apartment
18.08764,-67.11917,Cabo Rojo,"San Germán, PR Metro Area",307.69,4000,FALSE,0.183,262443431,ab-34810592,Apartment
18.3913,-67.10462,Moca,"Aguadilla-Isabela, PR Metro Area",65,2405,FALSE,0.411,176300071,ab-34810793,Apartment
18.34516,-67.25863,Rincon,"Aguadilla-Isabela, PR Metro Area",130.43,14999,TRUE,0.383,248645469,ab-34813698,Condominium
18.44898,-66.05496,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",60.26,8678,FALSE,0.416,241022773,ab-34814401,Apartment
18.45518,-66.06483,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,106952379,ab-34815090,Apartment
18.44346,-66.02255,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",52.78,8234,FALSE,0.732,94095792,ab-34815497,Guest suite
18.38877,-65.96533,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",134.94,40888,TRUE,0.842,171161772,ab-34815804,House
17.97076,-65.95057,NA,"Guayama, PR Metro Area",600,60600,FALSE,0.383,249622547,ab-34816322,Villa
18.42856,-65.97751,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",28.8,4407,TRUE,0.586,219800309,ab-34818113,House
18.47268,-67.09962,Aguadilla,"Aguadilla-Isabela, PR Metro Area",104.5,627,TRUE,0.2,199465340,ab-34829676,Apartment
18.45765,-66.07748,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",142.18,23460,TRUE,0.609,196536574,ab-34830759,Condominium
18.44936,-66.06498,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,61297895,ab-34833349,Condominium
18.44349,-66.06545,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",97.74,16713,TRUE,0.784,13796838,ab-34835943,Condominium
18.37224,-65.7219,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",58.93,7425,FALSE,0.357,252217283,ab-34836789,Guest suite
17.97858,-67.19201,Boqueron,"San Germán, PR Metro Area",101.31,3039,FALSE,0.246,259472776,ab-34838627,Chalet
18.45005,-66.05551,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",45.46,10138,FALSE,0.654,55146793,ab-34840605,Room in serviced apartment
18.45591,-66.06507,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",70.78,9201,FALSE,0.631,106952379,ab-34842256,Apartment
18.38454,-65.95947,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",35.03,1857,FALSE,0.366,73087155,ab-34842344,Guest suite
18.00957,-66.59567,Ponce,"Ponce, PR Metro Area",142.9,19005,TRUE,0.496,42134821,ab-34846116,Condominium
18.44786,-65.90624,Loiza,"San Juan-Carolina-Caguas, PR Metro Area",176.05,3697,FALSE,0.172,8850951,ab-34847577,Apartment
17.99048,-66.65637,Ponce,"Ponce, PR Metro Area",NA,0,FALSE,NA,124707283,ab-34852748,Apartment
18.32738,-67.23988,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,TRUE,NA,96440717,ab-34855811,House
18.459,-66.077,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",73.39,10715,FALSE,0.685,233646810,ab-34860671,Condominium
18.08686,-65.79597,Humacao,"San Juan-Carolina-Caguas, PR Metro Area",103.75,7470,FALSE,0.295,251391595,ab-34863113,Apartment
18.29,-65.286,Culebra,NA,154.7,9282,FALSE,0.287,52658610,ab-34866608,Apartment
18.45434,-66.08709,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",87.72,12894,TRUE,0.579,107480331,ab-34867214,Apartment
18.308,-65.304,Culebra,NA,166.25,9310,FALSE,0.187,52658610,ab-34867261,Apartment
18.00925,-66.61393,Ponce,"Ponce, PR Metro Area",62.03,9305,FALSE,0.761,253119025,ab-34867658,Apartment
18.45998,-67.11989,Aguadilla,"Aguadilla-Isabela, PR Metro Area",55.36,3100,FALSE,0.463,15321489,ab-34872002,House
18.4492,-66.04799,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",137.29,14278,FALSE,0.46,33546815,ab-34873503,House
18.25846,-66.00364,Gurabo,"San Juan-Carolina-Caguas, PR Metro Area",130,5460,FALSE,0.7,94706524,ab-34873504,House
18.339,-67.25,Rincon,"Aguadilla-Isabela, PR Metro Area",95.95,7100,TRUE,0.285,262959172,ab-34884168,Apartment
18.21353,-66.02074,Caguas,"San Juan-Carolina-Caguas, PR Metro Area",50,150,FALSE,0.033,260578086,ab-34885416,House
18.02655,-67.17552,NA,"San Germán, PR Metro Area",146.32,5853,FALSE,0.288,251929489,ab-34886998,Apartment
18.46601,-66.11505,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",176.11,21662,TRUE,0.423,262980557,ab-34888593,Apartment
17.97842,-67.21196,Boqueron,"San Germán, PR Metro Area",208.54,17100,FALSE,0.278,262986988,ab-34890376,Apartment
18.07252,-65.7973,Humacao,"San Juan-Carolina-Caguas, PR Metro Area",1092.11,124500,FALSE,0.343,262987682,ab-34890486,House
18.30402,-65.29967,Culebra,NA,99.6,9064,TRUE,0.303,261731808,ab-34890670,Tiny house
18.29068,-65.64887,Fajardo,"San Juan-Carolina-Caguas, PR Metro Area",125,2250,FALSE,0.295,215080944,ab-34891982,House
18.401,-66.011,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",58.16,8666,FALSE,0.479,263020351,ab-34896093,Condominium
18.021,-66.596,Ponce,"Ponce, PR Metro Area",29.88,5886,FALSE,0.573,263038837,ab-34900367,House
18.28211,-66.0176,Caguas,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,263064618,ab-34903634,House
18.09914,-65.88733,Yabucoa,"San Juan-Carolina-Caguas, PR Metro Area",55.78,14614,TRUE,0.764,84570705,ab-34904571,Apartment
18.4262,-66.01453,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",141.28,10455,FALSE,0.949,263077711,ab-34906068,Apartment
18.51351,-67.06613,Isabela,"Aguadilla-Isabela, PR Metro Area",150,20700,TRUE,0.437,212267742,ab-34906419,Apartment
18.06988,-65.80244,Yabucoa,"San Juan-Carolina-Caguas, PR Metro Area",135.73,21174,TRUE,0.553,208564249,ab-34906507,Villa
18.35915,-66.01529,Trujillo Alto,"San Juan-Carolina-Caguas, PR Metro Area",73.4,734,FALSE,0.833,160710534,ab-34908457,House
18.4614,-66.28516,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",85,170,FALSE,0.067,5836776,ab-34909290,House
18.42725,-66.00799,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",89.48,21923,FALSE,0.809,99631914,ab-34910800,Apartment
18.22307,-66.0254,Caguas,"San Juan-Carolina-Caguas, PR Metro Area",50,50,FALSE,0.032,263131870,ab-34913393,House
18.35366,-67.06426,Moca,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,263135028,ab-34913795,House
18.07386,-65.80018,Humacao,"San Juan-Carolina-Caguas, PR Metro Area",328.31,22325,FALSE,0.289,165451870,ab-34918160,House
17.99058,-66.65684,Ponce,"Ponce, PR Metro Area",NA,0,FALSE,NA,124707283,ab-34924688,Bed and breakfast
18.38014,-65.71986,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",78.36,9952,TRUE,0.552,263196700,ab-34927145,Condominium
18.47093,-66.33096,Vega Alta,"San Juan-Carolina-Caguas, PR Metro Area",132.44,6754,TRUE,0.338,257347255,ab-34929431,Condominium
18.397,-65.766,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",218.4,17909,FALSE,0.412,31397181,ab-34929916,Condominium
18.09258,-67.16595,Cabo Rojo,"San Germán, PR Metro Area",93.04,8932,TRUE,0.649,31762805,ab-34931569,House
18.39291,-66.20486,Toa Alta,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,112557103,ab-34934658,Condominium
18.35928,-66.07418,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,263256143,ab-34936518,Apartment
18.46685,-66.11772,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",97.57,9464,FALSE,0.317,35660269,ab-34939396,Loft
18.50031,-67.02385,Isabela,"Aguadilla-Isabela, PR Metro Area",60.55,9385,TRUE,0.442,262142272,ab-34939982,Room in boutique hotel
18.45571,-66.06524,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",175.21,7709,FALSE,0.463,56967418,ab-34940233,Apartment
18.50864,-67.02316,Isabela,"Aguadilla-Isabela, PR Metro Area",NA,0,TRUE,NA,33503462,ab-34941581,Apartment
18.428,-65.847,Loiza,"San Juan-Carolina-Caguas, PR Metro Area",106.58,13322,TRUE,0.424,205028679,ab-34942254,Apartment
18.14935,-67.17603,Cabo Rojo,"San Germán, PR Metro Area",59.02,2774,FALSE,0.273,22138066,ab-34945257,Apartment
18.23579,-65.94072,Juncos,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,263320945,ab-34945865,House
18.25825,-66.00518,Gurabo,"San Juan-Carolina-Caguas, PR Metro Area",130,3640,FALSE,0.394,94706524,ab-34946206,House
18.40209,-66.03314,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",58.21,8557,TRUE,0.454,130669566,ab-34948054,House
18.02683,-67.13484,Boqueron,"San Germán, PR Metro Area",112,5152,FALSE,0.178,263342470,ab-34948129,House
18.009,-66.612,Ponce,"Ponce, PR Metro Area",98.57,4140,FALSE,0.344,56229484,ab-34966248,Apartment
18.24319,-66.72139,Utuado,"Aguadilla-Isabela, PR Metro Area",52.09,1146,FALSE,0.71,171086904,ab-34967674,Cabin
18.1328,-66.27293,Aibonito,"San Juan-Carolina-Caguas, PR Metro Area",87.94,5452,FALSE,0.259,43816476,ab-34968167,Apartment
18.35426,-67.26748,Rincon,"Aguadilla-Isabela, PR Metro Area",425,2975,FALSE,0.226,2257303,ab-34969988,House
18.45185,-66.05398,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",79,237,TRUE,0.167,71330551,ab-34970159,Apartment
18.01913,-66.1457,NA,"Guayama, PR Metro Area",72.16,6350,TRUE,0.571,198226382,ab-34973750,Apartment
18.4436,-66.02455,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",222.73,12250,FALSE,0.212,33770670,ab-34975381,Condominium
18.341,-67.255,Rincon,"Aguadilla-Isabela, PR Metro Area",126.04,37307,TRUE,0.881,32720782,ab-34976025,Apartment
18.23468,-66.0144,Caguas,"San Juan-Carolina-Caguas, PR Metro Area",56.31,10024,TRUE,0.682,242105150,ab-34977050,House
18.42843,-66.01738,NA,"San Juan-Carolina-Caguas, PR Metro Area",41.94,2181,FALSE,0.722,182980560,ab-34977279,Condominium
17.96446,-66.30398,Salinas,"Coco, PR Micro Area",63.55,6482,FALSE,0.375,171015079,ab-34977388,House
18.14256,-65.47185,Vieques,NA,115,2185,FALSE,0.218,263533008,ab-34978041,House
18.3885,-65.75739,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",1167,21006,FALSE,0.151,121074509,ab-34978422,House
18.063,-66.1,Guayama,"Guayama, PR Metro Area",95.87,17448,TRUE,0.5,263539779,ab-34978810,Cabin
18.37525,-65.71189,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",83.57,3510,FALSE,0.512,121074509,ab-34978915,Condominium
18.47604,-66.32711,Vega Alta,"San Juan-Carolina-Caguas, PR Metro Area",177.49,18104,TRUE,0.557,129631567,ab-34979132,Apartment
18.50308,-67.10076,San Antonio,"Aguadilla-Isabela, PR Metro Area",99.22,3175,FALSE,0.212,61048501,ab-34979297,Apartment
18.428,-65.847,Loiza,"San Juan-Carolina-Caguas, PR Metro Area",131.96,16363,TRUE,0.579,205028679,ab-34982505,Apartment
