to,from,weight
Sweden,Ukraine,8
Sweden,United Kingdom,6
Sweden,Luxembourg,1
Sweden,Azerbaijan,5
Sweden,San Marino,2
Sweden,Croatia,2
Sweden,Czechia,8
Sweden,Australia,5
Sweden,Denmark,5
Sweden,Spain,8
Sweden,Norway,3
Sweden,Germany,12
Sweden,Moldova,1
Sweden,Greece,1
Sweden,Estonia,6
Sweden,Italy,6
Sweden,Finland,7
Sweden,Portugal,3
Sweden,Belgium,3
Sweden,Iceland,1
Sweden,Latvia,5
Sweden,Ireland,10
Sweden,Poland,5
Sweden,Cyprus,2
Sweden,Lithuania,5
Sweden,Serbia,5
Ukraine,Luxembourg,5
Ukraine,Azerbaijan,1
Ukraine,Croatia,7
Ukraine,Czechia,12
Ukraine,Israel,8
Ukraine,Australia,1
Ukraine,Denmark,6
Ukraine,Norway,4
Ukraine,Germany,4
Ukraine,Georgia,5
Ukraine,Switzerland,2
Ukraine,Moldova,12
Ukraine,Greece,2
Ukraine,Estonia,10
Ukraine,Netherlands,2
Ukraine,Austria,6
Ukraine,France,10
Ukraine,Finland,8
Ukraine,Portugal,6
Ukraine,Belgium,1
Ukraine,Iceland,3
Ukraine,Latvia,8
Ukraine,Ireland,2
Ukraine,Poland,10
Ukraine,Cyprus,1
Ukraine,Lithuania,6
Ukraine,Serbia,1
Ukraine,Sweden,3
Germany,Ukraine,7
Germany,United Kingdom,2
Germany,Luxembourg,4
Germany,San Marino,1
Germany,Czechia,5
Germany,Israel,10
Germany,Spain,5
Germany,Norway,6
Germany,Armenia,1
Germany,Georgia,2
Germany,Greece,5
Germany,Estonia,4
Germany,Netherlands,5
Germany,France,8
Germany,Italy,4
Germany,Finland,3
Germany,Portugal,2
Germany,Belgium,8
Germany,Iceland,2
Germany,Latvia,4
Germany,Ireland,6
Germany,Poland,4
Germany,Lithuania,1
Luxembourg,Ukraine,1
Luxembourg,United Kingdom,4
Luxembourg,Azerbaijan,8
Luxembourg,Malta,4
Luxembourg,Croatia,5
Luxembourg,Albania,4
Luxembourg,Israel,12
Luxembourg,Australia,2
Luxembourg,Denmark,1
Luxembourg,Germany,3
Luxembourg,Slovenia,5
Luxembourg,Moldova,2
Luxembourg,Greece,3
Luxembourg,France,7
Luxembourg,Finland,4
Luxembourg,Ireland,8
Luxembourg,Cyprus,4
Luxembourg,Sweden,6
Israel,Malta,3
Israel,Norway,8
Israel,Germany,8
Israel,Georgia,3
Israel,Moldova,3
Israel,Estonia,5
Israel,France,3
Israel,Belgium,5
Israel,Latvia,2
Israel,Cyprus,8
Israel,Lithuania,4
Lithuania,Ukraine,5
Lithuania,Germany,1
Lithuania,Moldova,5
Lithuania,Estonia,2
Lithuania,Netherlands,4
Lithuania,France,1
Lithuania,Portugal,7
Lithuania,Serbia,7
Spain,San Marino,6
Spain,Switzerland,1
Spain,Austria,4
Spain,Italy,7
Spain,Finland,1
Estonia,Austria,2
Estonia,Italy,2
Ireland,Ukraine,10
Ireland,United Kingdom,7
Ireland,Azerbaijan,10
Ireland,San Marino,7
Ireland,Malta,7
Ireland,Croatia,8
Ireland,Czechia,7
Ireland,Australia,12
Ireland,Denmark,7
Ireland,Spain,10
Ireland,Slovenia,1
Ireland,Switzerland,10
Ireland,Austria,3
Ireland,Italy,10
Ireland,Finland,6
Ireland,Portugal,10
Ireland,Belgium,4
Ireland,Iceland,7
Ireland,Poland,1
Ireland,Lithuania,3
Ireland,Serbia,2
Latvia,United Kingdom,3
Latvia,Luxembourg,8
Latvia,Malta,5
Latvia,Denmark,4
Latvia,Spain,4
Latvia,Georgia,8
Latvia,Estonia,1
Latvia,Netherlands,1
Latvia,Poland,2
Greece,Albania,7
Greece,Norway,2
Greece,Armenia,4
Greece,Slovenia,2
Greece,Switzerland,12
Greece,France,4
Greece,Cyprus,7
Greece,Serbia,3
United Kingdom,Australia,4
United Kingdom,Spain,2
United Kingdom,Switzerland,3
United Kingdom,Portugal,4
United Kingdom,Belgium,6
United Kingdom,Iceland,8
United Kingdom,Latvia,3
United Kingdom,Ireland,4
United Kingdom,Serbia,4
United Kingdom,Sweden,8
Norway,Albania,6
Norway,Czechia,1
Norway,Austria,1
Norway,Finland,2
Norway,Lithuania,2
Italy,Ukraine,2
Italy,United Kingdom,5
Italy,Azerbaijan,6
Italy,San Marino,10
Italy,Malta,8
Italy,Croatia,6
Italy,Albania,10
Italy,Israel,6
Italy,Australia,7
Italy,Spain,1
Italy,Norway,5
Italy,Germany,2
Italy,Armenia,8
Italy,Slovenia,3
Italy,Georgia,7
Italy,Switzerland,6
Italy,Moldova,10
Italy,Greece,8
Italy,Estonia,3
Italy,Netherlands,6
Italy,Austria,10
Italy,Portugal,5
Italy,Belgium,7
Italy,Poland,7
Italy,Cyprus,3
Italy,Serbia,6
Italy,Sweden,7
Serbia,Croatia,3
Serbia,Albania,1
Serbia,Denmark,2
Serbia,Armenia,5
Serbia,Slovenia,4
Serbia,Portugal,1
Serbia,Ireland,1
Serbia,Cyprus,5
Finland,San Marino,4
Finland,Australia,3
Portugal,Ukraine,3
Portugal,United Kingdom,12
Portugal,Luxembourg,3
Portugal,San Marino,5
Portugal,Malta,1
Portugal,Croatia,12
Portugal,Albania,5
Portugal,Czechia,3
Portugal,Israel,3
Portugal,Spain,3
Portugal,Armenia,10
Portugal,Slovenia,8
Portugal,Georgia,4
Portugal,Switzerland,7
Portugal,Moldova,4
Portugal,Greece,6
Portugal,Netherlands,8
Portugal,France,12
Portugal,Belgium,2
Portugal,Iceland,4
Portugal,Latvia,1
Portugal,Ireland,5
Portugal,Poland,6
Portugal,Lithuania,8
Portugal,Sweden,4
Armenia,Luxembourg,2
Armenia,San Marino,8
Armenia,Albania,8
Armenia,Czechia,6
Armenia,Denmark,3
Armenia,Norway,7
Armenia,Germany,7
Armenia,Slovenia,7
Armenia,Georgia,6
Armenia,Switzerland,4
Armenia,Greece,4
Armenia,Netherlands,3
Armenia,Austria,7
Armenia,France,6
Armenia,Italy,3
Armenia,Portugal,8
Armenia,Iceland,5
Armenia,Latvia,7
Cyprus,United Kingdom,1
Cyprus,Luxembourg,7
Cyprus,Azerbaijan,2
Cyprus,San Marino,3
Cyprus,Croatia,1
Cyprus,Australia,6
Cyprus,Armenia,2
Cyprus,Greece,10
Cyprus,Sweden,2
Switzerland,Ukraine,12
Switzerland,United Kingdom,10
Switzerland,Luxembourg,12
Switzerland,Azerbaijan,12
Switzerland,San Marino,12
Switzerland,Malta,12
Switzerland,Albania,12
Switzerland,Czechia,10
Switzerland,Israel,5
Switzerland,Australia,10
Switzerland,Denmark,12
Switzerland,Spain,12
Switzerland,Norway,12
Switzerland,Germany,5
Switzerland,Armenia,7
Switzerland,Slovenia,10
Switzerland,Georgia,12
Switzerland,Moldova,7
Switzerland,Greece,12
Switzerland,Estonia,12
Switzerland,Netherlands,12
Switzerland,Austria,12
Switzerland,France,5
Switzerland,Italy,12
Switzerland,Finland,12
Switzerland,Portugal,12
Switzerland,Belgium,10
Switzerland,Iceland,6
Switzerland,Latvia,12
Switzerland,Ireland,12
Switzerland,Poland,12
Switzerland,Cyprus,6
Switzerland,Lithuania,12
Switzerland,Serbia,10
Switzerland,Sweden,12
Slovenia,Azerbaijan,3
Slovenia,Croatia,10
Slovenia,Albania,2
Croatia,Ukraine,4
Croatia,United Kingdom,8
Croatia,Luxembourg,6
Croatia,Azerbaijan,4
Croatia,Malta,10
Croatia,Albania,3
Croatia,Czechia,2
Croatia,Israel,4
Croatia,Australia,8
Croatia,Denmark,8
Croatia,Germany,6
Croatia,Armenia,6
Croatia,Slovenia,6
Croatia,Georgia,1
Croatia,Switzerland,8
Croatia,Moldova,8
Croatia,Estonia,8
Croatia,Netherlands,7
Croatia,Austria,8
Croatia,France,2
Croatia,Italy,8
Croatia,Finland,10
Croatia,Iceland,10
Croatia,Latvia,6
Croatia,Ireland,7
Croatia,Poland,8
Croatia,Cyprus,12
Croatia,Lithuania,10
Croatia,Serbia,12
Croatia,Sweden,10
Georgia,Azerbaijan,7
Georgia,Malta,2
Georgia,Israel,2
Georgia,Norway,1
Georgia,Armenia,3
France,Ukraine,6
France,Luxembourg,10
France,Malta,6
France,Croatia,4
France,Czechia,4
France,Israel,1
France,Denmark,10
France,Spain,7
France,Norway,10
France,Germany,10
France,Armenia,12
France,Slovenia,12
France,Georgia,10
France,Switzerland,5
France,Moldova,6
France,Greece,7
France,Estonia,7
France,Netherlands,10
France,Austria,5
France,Italy,1
France,Finland,5
France,Belgium,12
France,Iceland,12
France,Latvia,10
France,Ireland,3
France,Poland,3
France,Cyprus,10
France,Lithuania,7
France,Serbia,8
France,Sweden,5
Austria,Israel,7
Austria,Spain,6
Austria,Italy,5
Austria,Sweden,1
