from,to,votos
Albania,Armenia,8
Albania,Croatia,3
Albania,Greece,7
Albania,Italy,10
Albania,Luxembourg,4
Albania,Norway,6
Albania,Portugal,5
Albania,Serbia,1
Albania,Slovenia,2
Albania,Switzerland,12
Armenia,Croatia,6
Armenia,Cyprus,2
Armenia,France,12
Armenia,Georgia,3
Armenia,Germany,1
Armenia,Greece,4
Armenia,Italy,8
Armenia,Portugal,10
Armenia,Serbia,5
Armenia,Switzerland,7
Australia,Croatia,8
Australia,Cyprus,6
Australia,Finland,3
Australia,Ireland,12
Australia,Italy,7
Australia,Luxembourg,2
Australia,Sweden,5
Australia,Switzerland,10
Australia,Ukraine,1
Australia,United Kingdom,4
Austria,Armenia,7
Austria,Croatia,8
Austria,Estonia,2
Austria,France,5
Austria,Ireland,3
Austria,Italy,10
Austria,Norway,1
Austria,Spain,4
Austria,Switzerland,12
Austria,Ukraine,6
Azerbaijan,Croatia,4
Azerbaijan,Cyprus,2
Azerbaijan,Georgia,7
Azerbaijan,Ireland,10
Azerbaijan,Italy,6
Azerbaijan,Luxembourg,8
Azerbaijan,Slovenia,3
Azerbaijan,Sweden,5
Azerbaijan,Switzerland,12
Azerbaijan,Ukraine,1
Belgium,France,12
Belgium,Germany,8
Belgium,Ireland,4
Belgium,Israel,5
Belgium,Italy,7
Belgium,Portugal,2
Belgium,Sweden,3
Belgium,Switzerland,10
Belgium,Ukraine,1
Belgium,United Kingdom,6
Croatia,Cyprus,1
Croatia,France,4
Croatia,Ireland,8
Croatia,Italy,6
Croatia,Luxembourg,5
Croatia,Portugal,12
Croatia,Serbia,3
Croatia,Slovenia,10
Croatia,Sweden,2
Croatia,Ukraine,7
Cyprus,Croatia,12
Cyprus,France,10
Cyprus,Greece,7
Cyprus,Israel,8
Cyprus,Italy,3
Cyprus,Luxembourg,4
Cyprus,Serbia,5
Cyprus,Sweden,2
Cyprus,Switzerland,6
Cyprus,Ukraine,1
Czechia,Armenia,6
Czechia,Croatia,2
Czechia,France,4
Czechia,Germany,5
Czechia,Ireland,7
Czechia,Norway,1
Czechia,Portugal,3
Czechia,Sweden,8
Czechia,Switzerland,10
Czechia,Ukraine,12
Denmark,Armenia,3
Denmark,Croatia,8
Denmark,France,10
Denmark,Ireland,7
Denmark,Latvia,4
Denmark,Luxembourg,1
Denmark,Serbia,2
Denmark,Sweden,5
Denmark,Switzerland,12
Denmark,Ukraine,6
Estonia,Croatia,8
Estonia,France,7
Estonia,Germany,4
Estonia,Israel,5
Estonia,Italy,3
Estonia,Latvia,1
Estonia,Lithuania,2
Estonia,Sweden,6
Estonia,Switzerland,12
Estonia,Ukraine,10
Finland,Croatia,10
Finland,France,5
Finland,Germany,3
Finland,Ireland,6
Finland,Luxembourg,4
Finland,Norway,2
Finland,Spain,1
Finland,Sweden,7
Finland,Switzerland,12
Finland,Ukraine,8
France,Armenia,6
France,Croatia,2
France,Germany,8
France,Greece,4
France,Israel,3
France,Lithuania,1
France,Luxembourg,7
France,Portugal,12
France,Switzerland,5
France,Ukraine,10
Georgia,Armenia,6
Georgia,Croatia,1
Georgia,France,10
Georgia,Germany,2
Georgia,Israel,3
Georgia,Italy,7
Georgia,Latvia,8
Georgia,Portugal,4
Georgia,Switzerland,12
Georgia,Ukraine,5
Germany,Armenia,7
Germany,Croatia,6
Germany,France,10
Germany,Israel,8
Germany,Italy,2
Germany,Lithuania,1
Germany,Luxembourg,3
Germany,Sweden,12
Germany,Switzerland,5
Germany,Ukraine,4
Greece,Armenia,4
Greece,Cyprus,10
Greece,France,7
Greece,Germany,5
