from,to,votos
Albania,Armenia,1
Albania,Croatia,12
Albania,Cyprus,5
Albania,France,6
Albania,Greece,4
Albania,Israel,10
Albania,Italy,8
Albania,Serbia,2
Albania,Switzerland,3
Albania,Ukraine,7
Armenia,Croatia,7
Armenia,Cyprus,4
Armenia,France,12
Armenia,Georgia,5
Armenia,Greece,10
Armenia,Ireland,2
Armenia,Israel,1
Armenia,Italy,6
Armenia,Switzerland,8
Armenia,Ukraine,3
Australia,Armenia,1
Australia,Croatia,10
Australia,Cyprus,5
Australia,Finland,4
Australia,France,2
Australia,Greece,3
Australia,Ireland,8
Australia,Israel,12
Australia,Switzerland,7
Australia,Ukraine,6
Austria,Armenia,3
Austria,Croatia,12
Austria,France,6
Austria,Germany,4
Austria,Ireland,2
Austria,Israel,10
Austria,Italy,1
Austria,Serbia,5
Austria,Switzerland,8
Austria,Ukraine,7
Azerbaijan,Croatia,12
Azerbaijan,Cyprus,6
Azerbaijan,France,2
Azerbaijan,Georgia,5
Azerbaijan,Greece,1
Azerbaijan,Ireland,4
Azerbaijan,Israel,7
Azerbaijan,Italy,3
Azerbaijan,Switzerland,10
Azerbaijan,Ukraine,8
Belgium,Armenia,5
Belgium,Croatia,8
Belgium,France,10
Belgium,Greece,4
Belgium,Ireland,2
Belgium,Israel,12
Belgium,Italy,3
Belgium,Luxembourg,1
Belgium,Switzerland,6
Belgium,Ukraine,7
Croatia,Armenia,3
Croatia,Estonia,4
Croatia,France,6
Croatia,Ireland,5
Croatia,Italy,7
Croatia,Serbia,12
Croatia,Slovenia,10
Croatia,Sweden,2
Croatia,Switzerland,1
Croatia,Ukraine,8
Cyprus,Armenia,4
Cyprus,Croatia,5
Cyprus,France,7
Cyprus,Greece,12
Cyprus,Ireland,2
Cyprus,Israel,10
Cyprus,Italy,3
Cyprus,Sweden,1
Cyprus,Switzerland,6
Cyprus,Ukraine,8
Czechia,Armenia,5
Czechia,Croatia,8
Czechia,France,4
Czechia,Greece,2
Czechia,Ireland,6
Czechia,Israel,10
Czechia,Lithuania,1
Czechia,Sweden,3
Czechia,Switzerland,7
Czechia,Ukraine,12
Denmark,Croatia,12
Denmark,Finland,2
Denmark,France,7
Denmark,Ireland,3
Denmark,Israel,8
Denmark,Latvia,4
Denmark,Lithuania,1
Denmark,Sweden,6
Denmark,Switzerland,5
Denmark,Ukraine,10
Estonia,Croatia,10
Estonia,Finland,8
Estonia,France,5
Estonia,Ireland,2
Estonia,Israel,6
Estonia,Latvia,3
Estonia,Lithuania,4
Estonia,Sweden,1
Estonia,Switzerland,7
Estonia,Ukraine,12
Finland,Austria,2
Finland,Croatia,10
Finland,Estonia,7
Finland,France,4
Finland,Ireland,5
Finland,Israel,12
Finland,Norway,1
Finland,Spain,3
Finland,Switzerland,8
Finland,Ukraine,6
France,Armenia,10
France,Croatia,7
France,Greece,1
France,Israel,12
France,Italy,4
France,Luxembourg,3
France,Portugal,5
France,Spain,2
France,Switzerland,6
France,Ukraine,8
Georgia,Armenia,10
Georgia,Croatia,5
Georgia,France,6
Georgia,Greece,2
Georgia,Ireland,4
Georgia,Israel,8
Georgia,Italy,3
Georgia,Latvia,1
Georgia,Switzerland,7
Georgia,Ukraine,12
Germany,Armenia,4
Germany,Croatia,10
Germany,France,6
Germany,Greece,5
Germany,Ireland,1
Germany,Israel,12
Germany,Italy,3
Germany,Lithuania,2
Germany,Switzerland,7
Germany,Ukraine,8
Greece,Armenia,5
Greece,Croatia,6
Greece,Cyprus,12
Greece,France,10
Greece,Ireland,2
Greece,Israel,7
Greece,Italy,4
Greece,Sweden,1
Greece,Switzerland,8
Greece,Ukraine,3
Iceland,Croatia,12
Iceland,Finland,1
Iceland,France,10
Iceland,Germany,2
Iceland,Ireland,3
Iceland,Israel,8
Iceland,Lithuania,4
Iceland,Sweden,7
Iceland,Switzerland,6
Iceland,Ukraine,5
Ireland,Croatia,12
Ireland,Finland,3
Ireland,France,4
Ireland,Israel,10
Ireland,Italy,1
Ireland,Latvia,5
Ireland,Lithuania,7
Ireland,Spain,2
Ireland,Switzerland,6
Ireland,Ukraine,8
Israel,Armenia,6
Israel,Austria,3
Israel,Croatia,5
Israel,Cyprus,1
Israel,France,2
Israel,Georgia,4
Israel,Germany,8
Israel,Italy,7
Israel,Luxembourg,12
Israel,Ukraine,10
Italy,Armenia,4
Italy,Croatia,8
Italy,France,6
Italy,Georgia,5
Italy,Greece,2
Italy,Ireland,3
Italy,Israel,12
Italy,Spain,1
Italy,Switzerland,7
Italy,Ukraine,10
Latvia,Armenia,2
Latvia,Croatia,5
Latvia,Estonia,12
Latvia,Finland,1
Latvia,France,6
Latvia,Ireland,3
Latvia,Israel,7
