to,Ukraine,United Kingdom,Luxembourg,Azerbaijan,San Marino,Malta,Croatia,Albania,Czechia,Israel,Australia,Denmark,Spain,Norway,Germany,Armenia,Slovenia,Georgia,Switzerland,Moldova,Greece,Estonia,Netherlands,Austria,France,Italy,Finland,Portugal,Belgium,Iceland,Latvia,Ireland,Poland,Cyprus,Lithuania,Serbia,Sweden,Rest of the World
Sweden,0,0,0,0,0,1,2,0,3,0,0,6,0,10,0,0,1,0,0,8,1,1,0,0,0,0,0,0,0,7,0,0,2,1,1,5,0,0
Ukraine,0,6,7,8,10,12,8,7,12,10,6,10,10,8,8,3,8,12,6,12,3,12,8,7,8,10,6,10,7,5,10,8,12,8,12,0,8,10
Germany,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,4
Israel,0,12,12,7,12,5,0,10,10,0,12,8,12,5,12,1,10,8,12,10,7,6,12,10,12,12,12,12,12,8,7,10,5,10,3,3,12,12
Lithuania,7,8,4,0,1,0,0,0,1,0,0,1,1,3,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,8,7,3,0,0,0,3,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,2,0,0,0,0,0,0
Estonia,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,6,0,0,0
Ireland,8,10,0,4,2,4,5,0,6,0,8,3,7,4,1,2,2,4,0,2,2,2,6,2,0,3,5,5,2,3,3,0,6,2,5,7,4,7
Latvia,5,4,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0
Greece,0,1,5,1,7,2,0,4,2,0,3,0,2,0,5,10,0,2,4,3,0,0,4,0,1,2,0,0,4,0,0,0,0,12,0,8,0,3
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,3,3,3,8,7,8,0,7,0,0,4,0,3,6,3,3,8,4,4,0,2,1,4,0,0,4,3,0,0,1,4,3,2,4,1,1
Serbia,0,0,0,0,0,3,12,2,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,2,3,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,3,1,0,0,0,5,0
Portugal,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,1,0,0,0,0,0,3,1,5,6,1,0,3,0,4,0,0,10,1,1,5,0,3,3,10,4,0,2,5,0,2,0,0,4,0,1,2,5
Cyprus,0,0,0,6,4,0,0,5,0,1,5,0,0,0,0,4,6,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Switzerland,12,5,2,10,5,6,1,3,7,0,7,5,6,6,7,8,4,7,0,5,8,7,7,8,6,7,8,6,6,6,4,6,8,6,8,6,7,6
Slovenia,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Croatia,10,7,10,12,8,10,0,12,8,5,10,12,8,12,10,7,12,5,10,7,6,10,10,12,7,8,10,7,8,12,5,12,10,5,10,12,10,8
Georgia,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
France,6,2,8,2,6,7,6,6,4,2,2,7,5,7,6,12,7,6,7,6,10,5,5,6,0,6,4,8,10,10,6,4,7,7,7,10,6,2
Austria,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
