Marca temporal,Puntuación,consentimiento,sexo,edad,region,ocupacion,ingreso_anual,tipo_escuela,descr_región,atractivo_compras,paseo_de_diego,plaza_mercado,atractivo_jangueo,jangueo_actividades,negocios_jangueo,limpieza,ornato,seguridad,opciones_compra,oferta_gastronomica,vida_nocturna,vista_general,comparacion_anual,establecimientos,redujo_gastos,responsabilidad,comentarios,id_respuesta,Estudiante universitario,Empleado empresa privada,Empleado público,Cuentapropista,Gobierno central,Gobierno municipal,Comunidad riopedrense,selena,iupicoop,787 (cafeteria),el boricua,electroshock,dipea,libreria magica,tambuye,heladeria georgetti,el ocho,bobet s bakehouse,arrope,rancho mexicano,taqueria azteca,mr. mac,el refugio,cafe boriken,plaza del mercado,boriken,bazar de mami hilda,n/a,el lab,el vidy's,scryer,el ensayo,club 77
2025-03-26T17:36:03Z,0,Acepto,Femenino,21-23,Fuera del área metropolitana,Estudiante universitario,"$0-$9,999",Escuela pública,Región central,No sé,No,No,Sí,No,n/a,B,B,B,A,B,B,Regular,Peor,selena,Sí,Gobierno central,NA,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-03-26T19:18:32Z,0,Acepto,Femenino,21-23,Área metropolitana,Estudiante universitario,"$60,000+",Colegio privado religioso,Area metro,No,No,Sí,No,Sí,"el refugio, el boricua, el ocho de rio",F,C,F,B,B,C,Regular,Igual,"iupicoop, 787 (cafeteria), el boricua",Sí,Gobierno municipal,NA,2,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-27T08:35:05Z,0,Acepto,Femenino,21-23,Área metropolitana,Estudiante universitario,"$40,000-$49,999",Escuela pública,Área metropolitana,No sé,No,Sí,No sé,Sí,"el ocho de rio, el lab",D,D,D,D,D,D,Regular,Mejor,iupicoop,Sí,Gobierno municipal,NA,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025-03-27T08:39:34Z,0,Acepto,Femenino,21-23,Área metropolitana,Estudiante universitario,"$15,000-$19,999",Escuela pública,San Juan,No,No,Sí,No sé,No,NA,C,C,D,B,D,D,Regular,Igual,"iupicoop, 787 (cafeteria)",No,Gobierno central,NA,5,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-03-27T08:45:54Z,0,Acepto,Femenino,21-23,Área metropolitana,Estudiante universitario,"$10,000-$14,999",Escuela pública,"Entiendo que es parte del Área metropolitana, junto con San Juan y Santurce",Sí,Sí,Sí,No sé,Sí,"el refugio, el boricua, el ocho de rio, el vidy s, el lab",C,C,C,B,B,B,Regular,Mejor,"electroshock, iupicoop, 787 (cafeteria), selena, el boricua, dipea",Sí,Comunidad riopedrense,NA,6,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2025-03-27T08:54:14Z,0,Acepto,Femenino,21-23,Área metropolitana,Estudiante universitario,"$0-$9,999",Colegio privado religioso,San Juan,No,No,Sí,No,Sí,"el refugio, el boricua, el ocho de rio",D,C,C,C,A,B,Regular,Igual,"iupicoop, 787 (cafeteria), selena, el boricua, dipea",Sí,"Gobierno central, Gobierno municipal, Comunidad riopedrense",NA,7,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-27T09:05:14Z,0,Acepto,Femenino,21-23,San Juan,Estudiante universitario,"$20,000-$39,999",Colegio privado no-religioso,La área metropolitana,Sí,No,Sí,Sí,Sí,"el refugio, el boricua, el ocho de rio, el vidy s, el lab",F,F,C,C,B,B,Regular,Igual,"libreria magica, iupicoop, 787 (cafeteria), selena, tambuye, el boricua, heladeria georgetti, dipea",Sí,"Gobierno central, Gobierno municipal, Comunidad riopedrense",NA,8,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2025-03-27T09:15:52Z,0,Acepto,Femenino,21-23,Fuera del área metropolitana,Estudiante universitario,"$10,000-$14,999",Escuela pública,area universitaria,No,Sí,Sí,Sí,Sí,"el refugio, el boricua, el ocho de rio, el vidy s",C,B,D,C,B,C,Mal,Igual,"electroshock, libreria magica, 787 (cafeteria), selena, dipea",Sí,"Gobierno central, Gobierno municipal, Comunidad riopedrense",NA,9,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-03-27T09:18:10Z,0,Acepto,Femenino,21-23,Área metropolitana,Estudiante universitario,"$60,000+",Colegio privado no-religioso,"Sector Venezuela, Santa Rita, Ave Barbosa, Ave Universitaria, Paseo de Diego",No,No,Sí,Sí,Sí,"el refugio, el boricua, el ocho de rio, scryer/el lab",C,C,C,B,C,B,Regular,Mejor,"electroshock, selena, el boricua, heladeria georgetti",Sí,"Gobierno central, Gobierno municipal, Comunidad riopedrense",NA,10,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2025-03-27T09:18:55Z,0,Acepto,Femenino,21-23,Fuera del área metropolitana,"Estudiante universitario, Empleado empresa privada","$0-$9,999",Escuela pública,Area metro,No sé,No,No,Sí,Sí,"el refugio, el boricua",C,B,D,B,B,C,Bien,Peor,"selena, dipea",Sí,Gobierno central,NA,11,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
